BYSID,BYS23001,,,BYSID,hope_job_reason
5002,1,,,5002,1
5003,3,,,5004,1
5004,1,,,5005,4
5005,4,,,5009,4
5008,1,,,5010,3
5009,4,,,5012,3
5010,3,,,5014,4
5012,3,,,5015,1
5014,4,,,5016,3
5015,1,,,5018,2
5016,3,,,5020,1
5018,2,,,5022,1
5020,1,,,5025,1
5022,1,,,5026,1
5025,1,,,5028,4
5026,1,,,5031,1
5028,4,,,5032,1
5031,1,,,5033,4
5032,1,,,5034,1
5033,4,,,5035,1
5034,1,,,5036,1
5035,1,,,5037,1
5036,1,,,5041,1
5037,1,,,5043,1
5041,1,,,5045,1
5042,4,,,5046,4
5043,1,,,5047,1
5045,1,,,5052,4
5046,4,,,5054,1
5047,1,,,5055,1
5052,4,,,5056,3
5054,1,,,5058,1
5055,1,,,5059,3
5056,3,,,5060,1
5058,1,,,5064,3
5059,3,,,5065,1
5060,1,,,5068,3
5064,3,,,5069,3
5065,1,,,5070,3
5066,3,,,5071,4
5068,3,,,5072,1
5069,3,,,5073,1
5070,3,,,5074,3
5071,4,,,5075,1
5072,1,,,5078,4
5073,1,,,5079,4
5074,3,,,5080,1
5075,1,,,5081,3
5078,4,,,5083,1
5079,4,,,5088,3
5080,1,,,5092,1
5081,3,,,5094,1
5082,1,,,5097,1
5083,1,,,5102,4
5088,3,,,5105,1
5092,1,,,5106,3
5094,1,,,5108,1
5097,1,,,5109,1
5098,4,,,5113,3
5101,1,,,5120,1
5102,4,,,5121,1
5105,1,,,5122,1
5106,3,,,5126,4
5108,1,,,5127,1
5109,1,,,5129,1
5113,3,,,5130,1
5120,1,,,5131,1
5121,1,,,5132,3
5122,1,,,5140,2
5126,4,,,5142,1
5127,1,,,5144,3
5129,1,,,5146,3
5130,1,,,5148,1
5131,1,,,5151,1
5132,3,,,5153,3
5140,2,,,5154,1
5142,1,,,5157,4
5144,3,,,5158,1
5146,3,,,5160,1
5147,1,,,5161,1
5148,1,,,5164,4
5151,1,,,5169,4
5153,3,,,5174,1
5154,1,,,5175,4
5155,1,,,5177,1
5157,4,,,5178,1
5158,1,,,5181,4
5159,2,,,5183,1
5160,1,,,5189,1
5161,1,,,5190,3
5163,1,,,5194,1
5164,4,,,5195,1
5169,4,,,5196,1
5174,1,,,5198,1
5175,4,,,5199,1
5177,1,,,5200,1
5178,1,,,5203,3
5181,4,,,5204,1
5182,1,,,5206,1
5183,1,,,5211,1
5189,1,,,5213,1
5190,3,,,5215,1
5191,3,,,5219,1
5194,1,,,5220,1
5195,1,,,5223,1
5196,1,,,5225,1
5198,1,,,5226,3
5199,1,,,5227,1
5200,1,,,5231,3
5203,3,,,5233,3
5204,1,,,5235,1
5206,1,,,5236,1
5211,1,,,5237,3
5213,1,,,5243,4
5215,1,,,5244,4
5219,1,,,5245,3
5220,1,,,5246,1
5221,1,,,5251,3
5222,4,,,5252,4
5223,1,,,5253,3
5225,1,,,5255,1
5226,3,,,5256,3
5227,1,,,5257,3
5231,3,,,5258,1
5233,3,,,5259,3
5235,1,,,5260,4
5236,1,,,5261,1
5237,3,,,5262,1
5243,4,,,5263,1
5244,4,,,5268,3
5245,3,,,5269,2
5246,1,,,5270,3
5251,3,,,5274,1
5252,4,,,5275,4
5253,3,,,5276,1
5255,1,,,5277,4
5256,3,,,5278,3
5257,3,,,5279,3
5258,1,,,5283,3
5259,3,,,5284,3
5260,4,,,5285,3
5261,1,,,5286,1
5262,1,,,5288,4
5263,1,,,5289,2
5268,3,,,5291,3
5269,2,,,5293,1
5270,3,,,5296,1
5274,1,,,5298,1
5275,4,,,5302,1
5276,1,,,5303,1
5277,4,,,5305,1
5278,3,,,5307,1
5279,3,,,5308,4
5283,3,,,5310,3
5284,3,,,5313,1
5285,3,,,5316,1
5286,1,,,5317,2
5288,4,,,5318,3
5289,2,,,5320,1
5291,3,,,5322,1
5293,1,,,5323,3
5296,1,,,5324,1
5298,1,,,5326,1
5302,1,,,5329,1
5303,1,,,5330,3
5305,1,,,5331,1
5307,1,,,5332,1
5308,4,,,5335,1
5310,3,,,5338,4
5313,1,,,5339,3
5316,1,,,5340,1
5317,2,,,5341,3
5318,3,,,5342,1
5320,1,,,5346,1
5322,1,,,5348,1
5323,3,,,5349,3
5324,1,,,5354,4
5326,1,,,5355,4
5329,1,,,5356,3
5330,3,,,5357,1
5331,1,,,5358,1
5332,1,,,5360,1
5335,1,,,5361,1
5338,4,,,5362,1
5339,3,,,5363,1
5340,1,,,5364,4
5341,3,,,5367,1
5342,1,,,5369,3
5345,1,,,5372,1
5346,1,,,5374,2
5348,1,,,5376,4
5349,3,,,5378,3
5354,4,,,5381,3
5355,4,,,5382,4
5356,3,,,5383,1
5357,1,,,5384,1
5358,1,,,5386,3
5360,1,,,5391,2
5361,1,,,5392,1
5362,1,,,5396,3
5363,1,,,5399,3
5364,4,,,5400,2
5367,1,,,5401,1
5368,1,,,5404,3
5369,3,,,5408,4
5370,1,,,5409,4
5371,1,,,5410,1
5372,1,,,5412,1
5374,2,,,5413,3
5376,4,,,5414,3
5378,3,,,5417,1
5381,3,,,5420,2
5382,4,,,5424,1
5383,1,,,5428,1
5384,1,,,5429,3
5386,3,,,5431,1
5390,1,,,5434,1
5391,2,,,5435,1
5392,1,,,5437,1
5396,3,,,5439,1
5397,4,,,5441,1
5399,3,,,5442,3
5400,2,,,5444,3
5401,1,,,5445,3
5404,3,,,5447,3
5408,4,,,5449,4
5409,4,,,5450,1
5410,1,,,5451,4
5412,1,,,5452,4
5413,3,,,5456,3
5414,3,,,5461,1
5416,3,,,5463,4
5417,1,,,5466,4
5419,4,,,5467,3
5420,2,,,5469,3
5424,1,,,5477,1
5427,4,,,5478,1
5428,1,,,5481,1
5429,3,,,5483,1
5431,1,,,5484,1
5434,1,,,5485,4
5435,1,,,5491,1
5437,1,,,5493,4
5439,1,,,5494,3
5441,1,,,5495,1
5442,3,,,5498,3
5444,3,,,5500,4
5445,3,,,5501,3
5446,4,,,5502,1
5447,3,,,5503,1
5449,4,,,5505,1
5450,1,,,5506,4
5451,4,,,5507,3
5452,4,,,5508,4
5456,3,,,5511,2
5461,1,,,5512,3
5463,4,,,5513,1
5464,1,,,5514,3
5466,4,,,5515,4
5467,3,,,5517,1
5469,3,,,5523,1
5477,1,,,5525,1
5478,1,,,5529,1
5479,3,,,5532,1
5481,1,,,5533,3
5483,1,,,5535,1
5484,1,,,5536,3
5485,4,,,5538,1
5489,3,,,5540,4
5491,1,,,5542,1
5493,4,,,5545,1
5494,3,,,5547,3
5495,1,,,5549,3
5498,3,,,5550,1
5500,4,,,5551,3
5501,3,,,5552,3
5502,1,,,5555,4
5503,1,,,5557,3
5505,1,,,5560,1
5506,4,,,5561,1
5507,3,,,5565,1
5508,4,,,5567,1
5511,2,,,5568,1
5512,3,,,5569,3
5513,1,,,5570,1
5514,3,,,5573,1
5515,4,,,5577,3
5517,1,,,5578,1
5523,1,,,5579,1
5525,1,,,5582,1
5529,1,,,5583,1
5530,1,,,5584,1
5532,1,,,5585,1
5533,3,,,5588,3
5535,1,,,5590,1
5536,3,,,5596,1
5538,1,,,5598,1
5540,4,,,5599,3
5542,1,,,5600,1
5545,1,,,5602,1
5547,3,,,5609,3
5549,3,,,5610,3
5550,1,,,5611,1
5551,3,,,5613,2
5552,3,,,5614,3
5553,1,,,5615,1
5555,4,,,5618,3
5556,1,,,5619,3
5557,3,,,5620,4
5560,1,,,5621,1
5561,1,,,5622,3
5565,1,,,5624,1
5567,1,,,5625,3
5568,1,,,5626,4
5569,3,,,5627,2
5570,1,,,5629,1
5573,1,,,5632,4
5575,4,,,5635,4
5577,3,,,5636,3
5578,1,,,5637,3
5579,1,,,5638,3
5582,1,,,5641,3
5583,1,,,5642,3
5584,1,,,5645,3
5585,1,,,5646,1
5586,1,,,5647,1
5588,3,,,5648,3
5590,1,,,5649,4
5596,1,,,5650,1
5598,1,,,5651,1
5599,3,,,5652,3
5600,1,,,5653,1
5602,1,,,5654,3
5609,3,,,5656,1
5610,3,,,5660,1
5611,1,,,5661,1
5613,2,,,5663,1
5614,3,,,5664,1
5615,1,,,5666,4
5616,1,,,5668,1
5617,1,,,5673,1
5618,3,,,5674,4
5619,3,,,5676,4
5620,4,,,5677,1
5621,1,,,5678,1
5622,3,,,5680,3
5624,1,,,5681,3
5625,3,,,5682,3
5626,4,,,5683,3
5627,2,,,5686,1
5628,1,,,5687,1
5629,1,,,5690,1
5632,4,,,5692,1
5635,4,,,5693,3
5636,3,,,5695,3
5637,3,,,5696,1
5638,3,,,5698,1
5641,3,,,5699,1
5642,3,,,5704,2
5645,3,,,5712,4
5646,1,,,5714,3
5647,1,,,5716,3
5648,3,,,5717,1
5649,4,,,5719,1
5650,1,,,5720,1
5651,1,,,5721,3
5652,3,,,5722,1
5653,1,,,5723,1
5654,3,,,5724,1
5656,1,,,5726,4
5660,1,,,5730,1
5661,1,,,5737,4
5663,1,,,5738,1
5664,1,,,5739,3
5666,4,,,5741,4
5668,1,,,5743,1
5671,4,,,5744,4
5672,4,,,5745,3
5673,1,,,5746,1
5674,4,,,5749,4
5675,1,,,5756,1
5676,4,,,5758,1
5677,1,,,5762,1
5678,1,,,5763,1
5679,1,,,5767,1
5680,3,,,5768,3
5681,3,,,5770,1
5682,3,,,5773,1
5683,3,,,5775,3
5686,1,,,5778,1
5687,1,,,5781,3
5690,1,,,5782,1
5692,1,,,5784,4
5693,3,,,5785,3
5695,3,,,5786,1
5696,1,,,5790,1
5698,1,,,5794,2
5699,1,,,5796,1
5704,2,,,5797,1
5707,3,,,5798,3
5712,4,,,5799,3
5714,3,,,5801,3
5716,3,,,5804,1
5717,1,,,5805,1
5719,1,,,5807,1
5720,1,,,5808,1
5721,3,,,5811,3
5722,1,,,5816,3
5723,1,,,5819,3
5724,1,,,5820,1
5726,4,,,5821,4
5729,3,,,5822,3
5730,1,,,5823,1
5732,3,,,5826,1
5737,4,,,5828,2
5738,1,,,5830,1
5739,3,,,5831,1
5741,4,,,5834,4
5742,3,,,5835,3
5743,1,,,5836,1
5744,4,,,5837,1
5745,3,,,5840,3
5746,1,,,5841,1
5749,4,,,5842,1
5750,1,,,5843,3
5751,1,,,5845,1
5753,2,,,5846,3
5756,1,,,5848,1
5757,4,,,5853,1
5758,1,,,5854,2
5762,1,,,5855,3
5763,1,,,5856,3
5766,2,,,5857,3
5767,1,,,5858,4
5768,3,,,5859,1
5770,1,,,5860,1
5773,1,,,5861,3
5775,3,,,5864,1
5778,1,,,5866,1
5781,3,,,5867,3
5782,1,,,5871,1
5783,1,,,5873,1
5784,4,,,5874,3
5785,3,,,5878,3
5786,1,,,5880,3
5790,1,,,5881,4
5792,1,,,5882,1
5794,2,,,5883,1
5795,3,,,5884,3
5796,1,,,5886,3
5797,1,,,5887,1
5798,3,,,5888,3
5799,3,,,5889,4
5800,3,,,5892,3
5801,3,,,5894,1
5804,1,,,5895,3
5805,1,,,5896,3
5807,1,,,5898,1
5808,1,,,5900,1
5811,3,,,5902,3
5813,3,,,5905,4
5816,3,,,5906,4
5818,1,,,5908,3
5819,3,,,5912,3
5820,1,,,5915,3
5821,4,,,5917,1
5822,3,,,5918,1
5823,1,,,5919,3
5826,1,,,5921,1
5828,2,,,5924,2
5830,1,,,5927,4
5831,1,,,5928,1
5833,3,,,5930,1
5834,4,,,5932,1
5835,3,,,5935,1
5836,1,,,5936,3
5837,1,,,5938,1
5839,3,,,5939,4
5840,3,,,5942,1
5841,1,,,5946,3
5842,1,,,5947,1
5843,3,,,5950,3
5845,1,,,5951,1
5846,3,,,5953,3
5848,1,,,5958,1
5853,1,,,5965,1
5854,2,,,5966,1
5855,3,,,5967,3
5856,3,,,5968,3
5857,3,,,5970,4
5858,4,,,5973,4
5859,1,,,5975,4
5860,1,,,5978,1
5861,3,,,5980,1
5864,1,,,5982,3
5866,1,,,5983,3
5867,3,,,5985,2
5870,3,,,5988,3
5871,1,,,5991,1
5873,1,,,5992,3
5874,3,,,5994,1
5878,3,,,5999,1
5880,3,,,6000,1
5881,4,,,6004,1
5882,1,,,6005,1
5883,1,,,6006,3
5884,3,,,6007,3
5886,3,,,6008,4
5887,1,,,6009,3
5888,3,,,6010,4
5889,4,,,6011,1
5891,4,,,6012,1
5892,3,,,6015,1
5894,1,,,6016,2
5895,3,,,6017,3
5896,3,,,6018,4
5898,1,,,6020,3
5900,1,,,6021,2
5902,3,,,6023,1
5905,4,,,6025,3
5906,4,,,6026,4
5908,3,,,6027,2
5912,3,,,6028,3
5915,3,,,6029,3
5917,1,,,6035,3
5918,1,,,6039,3
5919,3,,,6042,3
5921,1,,,6043,4
5923,1,,,6045,3
5924,2,,,6047,1
5926,1,,,6049,1
5927,4,,,6050,2
5928,1,,,6052,1
5930,1,,,6053,3
5932,1,,,6055,1
5934,1,,,6057,3
5935,1,,,6058,1
5936,3,,,6060,4
5938,1,,,6061,4
5939,4,,,6062,1
5941,3,,,6063,3
5942,1,,,6067,1
5946,3,,,6068,3
5947,1,,,6071,4
5950,3,,,6073,3
5951,1,,,6076,1
5953,3,,,6077,3
5958,1,,,6079,3
5965,1,,,6081,3
5966,1,,,6084,1
5967,3,,,6085,4
5968,3,,,6086,3
5969,3,,,6087,3
5970,4,,,6092,1
5973,4,,,6093,1
5975,4,,,6094,1
5978,1,,,6097,3
5980,1,,,6099,1
5982,3,,,6100,1
5983,3,,,6106,1
5985,2,,,6108,4
5988,3,,,6111,2
5991,1,,,6114,1
5992,3,,,6115,1
5993,3,,,6116,1
5994,1,,,6117,1
5995,1,,,6120,1
5999,1,,,6122,3
6000,1,,,6124,1
6004,1,,,6125,1
6005,1,,,6126,3
6006,3,,,6127,1
6007,3,,,6128,1
6008,4,,,6129,4
6009,3,,,6132,1
6010,4,,,6137,4
6011,1,,,6139,3
6012,1,,,6142,1
6015,1,,,6147,1
6016,2,,,6148,3
6017,3,,,6156,3
6018,4,,,6157,1
6020,3,,,6159,1
6021,2,,,6162,-2
6023,1,,,6163,3
6025,3,,,6164,4
6026,4,,,6165,1
6027,2,,,6167,1
6028,3,,,6169,3
6029,3,,,3001,1
6035,3,,,3003,1
6036,1,,,3005,1
6039,3,,,3006,1
6042,3,,,3012,3
6043,4,,,3013,1
6045,3,,,3015,1
6047,1,,,3016,3
6049,1,,,3017,1
6050,2,,,3018,4
6052,1,,,3019,1
6053,3,,,3020,3
6054,1,,,3021,1
6055,1,,,3022,3
6057,3,,,3023,1
6058,1,,,3024,3
6060,4,,,3025,1
6061,4,,,3026,1
6062,1,,,3027,1
6063,3,,,3030,4
6065,3,,,3035,1
6067,1,,,3036,4
6068,3,,,3039,1
6069,1,,,3043,1
6071,4,,,3044,3
6072,3,,,3046,1
6073,3,,,3049,1
6076,1,,,3051,4
6077,3,,,3053,4
6079,3,,,3056,3
6081,3,,,3057,2
6084,1,,,3061,4
6085,4,,,3066,3
6086,3,,,3068,1
6087,3,,,3069,1
6092,1,,,3070,1
6093,1,,,3071,1
6094,1,,,3073,4
6097,3,,,3074,3
6099,1,,,3076,1
6100,1,,,3077,3
6106,1,,,3078,1
6108,4,,,3080,4
6111,2,,,3081,1
6114,1,,,3085,4
6115,1,,,3087,1
6116,1,,,3089,4
6117,1,,,3092,1
6119,3,,,3096,1
6120,1,,,3098,1
6122,3,,,3099,4
6124,1,,,3102,1
6125,1,,,3103,1
6126,3,,,3106,2
6127,1,,,3109,1
6128,1,,,3110,4
6129,4,,,3112,1
6132,1,,,3114,3
6136,3,,,3115,4
6137,4,,,3116,4
6138,3,,,3119,4
6139,3,,,3120,1
6142,1,,,3121,2
6147,1,,,3124,1
6148,3,,,3126,4
6156,3,,,3127,3
6157,1,,,3128,1
6158,4,,,3129,1
6159,1,,,3130,1
6162,-2,,,3132,1
6163,3,,,3133,4
6164,4,,,3136,1
6165,1,,,3138,1
6167,1,,,3139,1
6169,3,,,3141,4
6171,3,,,3147,1
6172,1,,,3150,1
6176,3,,,3151,1
6177,3,,,3153,1
6178,1,,,3155,1
6179,1,,,3161,1
6180,1,,,3162,1
6181,1,,,3163,3
6184,1,,,3165,4
6186,3,,,3167,3
6188,2,,,3170,1
6189,1,,,3172,1
6191,3,,,3179,1
6194,4,,,3180,1
6197,1,,,3181,1
6198,1,,,3185,1
6200,1,,,3187,1
6201,1,,,3188,4
6202,3,,,3189,1
6203,1,,,3192,1
6204,3,,,3193,1
6205,3,,,3195,1
6207,1,,,3196,1
6210,3,,,3200,1
6217,1,,,3201,1
6218,1,,,3204,1
6224,4,,,3205,1
6225,4,,,3206,1
6226,3,,,3213,3
6230,3,,,3214,1
6231,1,,,3215,4
6232,4,,,3218,3
6233,3,,,3219,3
6234,1,,,3221,3
6236,4,,,3225,4
6237,1,,,3226,1
6238,4,,,3231,3
6239,1,,,3232,1
6240,3,,,3233,1
6241,3,,,3235,1
6243,1,,,3236,1
6244,1,,,3238,4
6245,1,,,3240,1
6246,4,,,3241,1
6247,1,,,3243,1
6250,3,,,3245,1
6253,1,,,3246,4
6255,4,,,3247,1
6257,1,,,3248,1
6258,2,,,3253,1
6260,3,,,3255,3
6261,2,,,3258,1
6263,1,,,3260,1
6264,3,,,3261,1
6266,1,,,3262,1
6267,4,,,3263,4
6270,3,,,3264,1
6271,1,,,3266,1
6274,1,,,3269,3
6277,1,,,3271,1
6280,1,,,3273,1
6281,2,,,3279,1
6283,4,,,3285,3
6285,1,,,3292,1
6286,1,,,3293,4
6291,1,,,3300,4
6292,1,,,3302,3
6293,1,,,3307,3
6294,1,,,3308,1
6296,1,,,3309,2
6297,4,,,3311,3
6300,1,,,3314,3
6303,1,,,3316,1
6304,4,,,3319,4
6308,3,,,3320,3
6311,1,,,3323,3
6312,1,,,3324,1
6313,1,,,3325,3
6314,1,,,3327,4
6316,4,,,3330,1
6317,3,,,3331,1
6319,1,,,3332,1
6320,1,,,3333,4
6323,1,,,3334,3
6324,4,,,3343,1
6327,1,,,3344,1
6330,1,,,3346,1
6333,4,,,3347,1
6337,1,,,3350,4
6338,4,,,3351,1
6339,1,,,3354,1
6343,3,,,3355,4
6344,3,,,3358,4
6345,3,,,3359,1
6348,3,,,3360,1
6351,2,,,3363,1
6353,1,,,3366,3
6354,1,,,3369,1
6357,3,,,3370,1
6358,3,,,3371,1
6359,4,,,3374,3
6361,4,,,3376,1
6364,1,,,3378,1
6365,1,,,3384,1
6366,3,,,3386,3
6367,1,,,3388,3
6368,3,,,3389,4
6369,3,,,3390,1
6371,3,,,3392,1
6373,1,,,3393,4
6375,1,,,3395,1
6376,1,,,3396,1
6377,3,,,3398,1
6378,3,,,3399,3
6382,4,,,3401,1
6384,1,,,3407,1
6385,1,,,3409,1
6386,3,,,3410,1
6387,4,,,3415,3
6391,1,,,3419,1
6395,1,,,3420,1
6396,4,,,3422,1
6397,3,,,3423,2
6400,1,,,3425,4
6401,4,,,3431,1
6402,1,,,3438,1
6403,1,,,3440,3
6409,1,,,3441,4
6410,4,,,3445,1
6411,4,,,3447,1
6414,4,,,3449,3
6415,1,,,3450,3
6416,3,,,3451,1
6417,3,,,3453,3
6419,1,,,3456,1
6421,3,,,3458,4
6426,1,,,3460,1
6427,2,,,3461,1
6429,3,,,3467,3
6434,3,,,3468,1
6435,1,,,3469,4
6436,4,,,3470,1
6437,4,,,3474,3
6439,1,,,3478,1
6440,3,,,3479,4
6442,1,,,3481,4
6443,1,,,3484,1
6446,1,,,3487,3
6447,1,,,3488,1
6448,1,,,3491,1
6451,1,,,3494,1
6452,2,,,3496,1
6454,1,,,3498,1
6456,1,,,3499,4
6459,4,,,3500,1
6460,1,,,3502,3
6461,1,,,3503,1
6463,3,,,3504,1
6464,3,,,3507,4
6465,3,,,3508,3
6468,4,,,3511,3
6475,4,,,3514,4
6477,3,,,3515,3
6480,1,,,3517,3
6481,1,,,3518,1
6483,1,,,3519,1
6484,1,,,3520,1
6485,1,,,3525,1
6489,1,,,3526,3
6490,1,,,3527,1
6492,1,,,3530,3
6495,1,,,3531,1
6497,1,,,3532,1
6498,1,,,3533,1
6499,1,,,3535,4
6500,3,,,3536,3
6505,1,,,3543,1
6508,4,,,3544,1
6509,1,,,3547,3
6510,3,,,3551,1
6512,3,,,3553,1
6513,1,,,3554,1
6514,1,,,3557,1
6517,1,,,3559,1
6518,3,,,3566,-2
6520,1,,,3568,1
6521,2,,,3571,1
6523,1,,,3577,4
6524,3,,,3578,4
6525,1,,,3579,3
6528,3,,,3580,1
6529,1,,,3588,3
6531,2,,,3590,1
6534,1,,,3593,3
6535,1,,,3594,2
6537,3,,,3595,1
6539,1,,,3597,1
6540,3,,,3598,1
6541,3,,,3599,1
6545,3,,,3601,1
6546,1,,,3602,1
6547,1,,,3604,1
6550,1,,,3605,1
6551,1,,,3609,1
6553,3,,,3617,4
6554,1,,,3618,1
6555,1,,,3619,4
6556,1,,,3622,4
6557,3,,,3623,3
6561,1,,,3626,1
6562,3,,,3627,1
6563,1,,,3629,1
6564,1,,,3632,1
6565,1,,,3633,3
6567,1,,,3634,3
6569,4,,,3635,1
6570,2,,,3636,3
6571,1,,,3637,1
6573,3,,,3639,1
6579,3,,,3645,4
6580,3,,,3646,1
6581,2,,,3648,1
6584,3,,,3653,1
6588,1,,,3655,3
6589,1,,,3656,3
6590,1,,,3657,1
6594,4,,,3658,4
6600,4,,,3660,3
6601,4,,,3662,3
6602,1,,,3665,3
6603,3,,,3666,2
6604,3,,,3667,1
6606,1,,,3671,1
6611,3,,,3672,3
6613,4,,,3674,2
6614,1,,,3676,1
6615,3,,,3677,3
6616,2,,,3678,1
6617,3,,,3683,1
6618,1,,,3684,1
6619,1,,,3685,3
6622,1,,,3687,4
6623,1,,,3688,1
6624,1,,,3689,3
6626,4,,,3690,1
6628,1,,,3695,1
6629,3,,,3697,1
6630,3,,,3699,1
6632,3,,,3700,1
6634,1,,,3703,4
6635,1,,,3707,3
6636,4,,,3708,1
6637,1,,,3709,4
6638,1,,,3711,4
6645,3,,,3712,4
6646,1,,,3714,1
6647,3,,,3715,4
6652,3,,,3717,1
6654,4,,,3721,1
6655,3,,,3722,4
6657,1,,,3723,4
6659,1,,,3725,1
6660,2,,,3732,3
6663,1,,,3736,4
6665,1,,,3740,1
6668,1,,,3746,4
6669,1,,,3747,3
6672,4,,,3748,4
6673,1,,,3750,3
6675,3,,,3752,1
6679,3,,,3753,2
6680,1,,,3754,3
6681,4,,,3755,1
6682,3,,,3756,1
6683,1,,,3758,1
6686,1,,,3763,1
6687,1,,,3765,1
6688,4,,,3766,1
6690,1,,,3768,1
6691,1,,,3769,1
6698,1,,,3770,3
6699,1,,,3771,4
6701,3,,,3772,4
6703,3,,,3779,1
6704,3,,,3780,1
6705,1,,,3781,3
6709,4,,,3782,1
6713,4,,,3784,1
6714,1,,,3787,1
6717,3,,,3793,1
6721,1,,,3795,1
6723,1,,,3796,1
6724,1,,,3797,1
6726,2,,,3798,1
6727,1,,,3807,1
6729,3,,,3808,1
6730,3,,,3809,1
6731,3,,,3811,3
6732,1,,,3817,1
6738,3,,,3822,3
6739,2,,,3827,3
6740,1,,,3828,4
6742,1,,,3830,3
6747,1,,,3832,1
6748,1,,,3833,4
6749,3,,,3834,3
6751,3,,,3835,3
6753,2,,,3839,4
6754,4,,,3840,1
6755,1,,,3842,1
6756,1,,,3844,3
6757,1,,,3845,1
6759,1,,,3847,3
6762,3,,,3848,4
6763,2,,,3849,1
6764,3,,,3850,1
6765,4,,,3852,4
6766,3,,,3853,1
6767,1,,,3854,4
6768,3,,,3855,3
6770,3,,,3857,1
6771,1,,,3859,1
6772,1,,,3860,4
6773,3,,,3863,4
6775,2,,,3864,1
6776,1,,,3866,3
6777,1,,,3867,1
6780,1,,,3872,4
6786,3,,,3874,1
